Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-07-09,82312000,86914000,28750100,29472000,8947300,14698600,19953100,6932800,342860000,41101300,92862000
2019-07-10,71588400,98638000,40574800,30710000,9242300,20571700,24204400,5878800,452076000,58448500,137185500
2019-07-11,80767200,86356000,37376800,26004000,11595200,13678500,22327900,4336300,682560000,50826100,112716000
2019-07-12,70380800,50186000,29632900,21878000,10783400,15366300,18936800,6636900,506392000,40326000,138007500
2019-07-15,67789600,59626000,46462100,21164000,12946600,16030300,16651500,7944700,289840000,33900000,165001500
2019-07-16,67467200,52364000,54920400,25352000,16945000,12132700,22726100,5863200,341444000,36650100,122235000
2019-07-17,56430000,51176000,84958300,19538000,13120900,12083700,20211000,13639500,348204000,36036300,146470500
2019-07-18,74162400,69738000,49468800,25450000,9397200,11937900,30381800,31287100,442192000,51392600,71379000
2019-07-19,83717200,63712000,44863200,23184000,10402800,12098300,48992400,16302500,344896000,58678600,105726000
2019-07-22,89111600,58000000,31224300,28914000,9061100,13589000,25074900,17718000,315940000,43638100,102636000
2019-07-23,73420800,54070000,64030300,20648000,12752200,14583700,18034600,9171100,428176000,44564500,75346500
2019-07-24,59966400,52626000,53171900,27192000,10011000,32532500,20738300,11961800,366236000,47213200,166092000
2019-07-25,55638400,82730000,43251900,54762000,10138400,39889900,18356900,10798500,392700000,55394100,336274500
2019-07-26,70475600,98542000,46978800,121216000,12800400,24434000,19037600,10847500,274160000,45084100,150415500
2019-07-29,86693600,89864000,39176700,41382000,8500400,16530800,16605900,5782800,248160000,38126500,139099500
2019-07-30,135742800,58218000,37598300,28616000,7121100,11903600,16846500,6029300,197772000,45849000,121635000
2019-07-31,277125600,89414000,60607600,39960000,13648000,14593500,38598800,6259500,359416000,104245200,137673000
2019-08-01,216071600,94266000,76913400,35426000,15664500,17777000,40557500,6563200,421212000,142646600,123892500
2019-08-02,163448400,99124000,57492300,34910000,11025500,15297000,30791600,6280300,428348000,116749700,92047500
2019-08-05,209572000,121164000,96207700,47840000,15855300,23086700,42749600,8692500,589156000,178745400,105424500
2019-08-06,143299200,101406000,65115800,36014000,10203500,18035700,32696700,6179100,361272000,120711700,83463000
2019-08-07,133457600,90538000,75388500,30686000,17320900,15833200,33414500,9322400,372560000,140572300,71647500
